============================================================
A股回测报告
回测日期: 2026-03-02
============================================================


────────────────────────────────────────────────────────────
策略: 少妇战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
600763    通策医疗    03-10     47.50     03-19     43.22     -9.01     -8988.00    
300107    建新股份    03-10     8.52      03-19     7.63      -10.45    -10413.00   
688338    赛科希德    03-10     32.32     03-19     30.43     -5.85     -5670.00    
002054    德美化工    03-10     9.87      03-19     8.90      -9.83     -9797.00    
688277    天智航-    03-10     24.14     03-19     23.88     -1.08     -1066.00    
000959    首钢股份    03-10     5.43      03-19     4.90      -9.76     -9752.00    
605006    山东玻纤    03-10     9.38      03-19     8.79      -6.29     -6254.00    
600392    盛和资源    03-10     27.90     03-19     22.82     -18.21    -17780.00   
002925    盈趣科技    03-10     22.30     03-19     20.97     -5.96     -5852.00    
600176    中国巨石    03-10     26.60     03-19     23.45     -11.84    -11655.00   
603706    东方环宇    03-10     21.00     03-19     20.32     -3.24     -3196.00    
002911    佛燃能源    03-10     14.67     03-19     14.75     +0.55     +544.00     
002296    辉煌科技    03-10     13.80     03-19     11.88     -13.91    -13824.00   
688398    赛特新材    03-10     24.53     03-20     23.42     -4.53     -4440.00    
000060    中金岭南    03-10     7.53      03-19     6.27      -16.73    -16632.00   
301395    仁信新材    03-10     15.00     03-19     15.32     +2.13     +2112.00    
300320    海达股份    03-10     11.14     03-19     10.81     -2.96     -2937.00    
688017    绿的谐波    03-10     212.04    03-19     189.65    -10.56    -8956.00    
600273    嘉化能源    03-11     10.56     03-20     9.12      -13.64    -13536.00   
002597    金禾实业    03-11     25.44     03-20     22.13     -13.01    -12909.00   
